" Estimated delivery date: %s."," Estimated delivery date: %s."
"Afternoon (between 1 PM and 6 PM)","Afternoon (between 1 PM and 6 PM)"
"API Key","API Key"
"API Secret","API Secret"
"Assigned vouchers: %s.","Assigned vouchers: %s."
"Attribute for Depth","Attribute for Depth"
"Attribute for Height","Attribute for Height"
"Attribute for Price","Attribute for Price"
"Attribute for Weight","Attribute for Weight"
"Attribute for Width","Attribute for Width"
"Delivery Time","Delivery Time"
"Enabled","Enabled"
"Etrans Insurance","Etrans Insurance"
"Evening (between 6 PM and 11 PM)","Evening (between 6 PM and 11 PM)"
"Insurance","Insurance"
"Map Attributes","Map Attributes"
"Method Name","Method Name"
"Morning (between 8 AM and 1 PM)","Morning (between 8 AM and 1 PM)"
"Own Insurance","Own Insurance"
"Pickup Time","Pickup Time"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Sort Order","Sort Order"
"Title","Title"
"Use Tax/Vat Number","Use Tax/Vat Number"
"Without Insurance","Without Insurance"
"You can use medium shipment cost or you can send the right values to get the accurate quote.","You can use medium shipment cost or you can send the right values to get the accurate quote."
