" Estimated delivery date: %s."," Fecha de entrega estimada: %s."
"Afternoon (between 1 PM and 6 PM)","Por la tarde (entre 13:00 y 18:00)"
"API Key","API Key"
"API Secret","API Secret"
"Assigned vouchers: %s.","Vouchers asignados: %s."
"Attribute for Depth","Atributo de Profundidad"
"Attribute for Height","Atributo de Altura"
"Attribute for Price","Atributo de Precio"
"Attribute for Weight","Atributo de Peso"
"Attribute for Width","Atributo de Ancho"
"Delivery Time","Horario de Entrega"
"Enabled","Habilitado"
"Etrans Insurance","Seguro Etrans"
"Evening (between 6 PM and 11 PM)","Noche (entre 18:00 y 23:00)"
"Insurance","Seguro"
"Map Attributes","Mapeo de Atributos"
"Method Name","Nombre del método de envío"
"Morning (between 8 AM and 1 PM)","Por la mañana (entre 8:00 y 13:00)"
"Own Insurance","Seguro propio"
"Pickup Time","Horario de Retiro"
"Ship to Applicable Countries","Enviar sólo a los países habilitados"
"Ship to Specific Countries","Envíos sólo para los siguientes países"
"Sort Order","Orden de clasificación"
"Title","Título"
"Use Tax/Vat Number","Utilizar CUIT"
"Without Insurance","Sin Seguro"
"You can use medium shipment cost or you can send the right values to get the accurate quote.","Puede utilizar el costo de envío promedio o puede enviar los valores correctos para obtener la cotización exacta."
